brand,brand_prefix,part_code,part_name,priority,oem_number,source_name,source_url,retrieved_at
Audi,AU,CKP,Датчик положения коленвала,high,B66B812CE4,partsale.eu,https://partsale.eu/search?q=CKP%20vag,2026-05-13T07:53:55Z
Audi,AU,CMP,Датчик положения распредвала,high,B66B812CE4,partsale.eu,https://partsale.eu/search?q=CMP%20vag,2026-05-13T07:53:55Z
Seat,SE,CSR,Сальник коленвала задний,high,CROPPED-BRAKE-192X192,partsale.eu,https://partsale.eu/search?q=CSR%20vag,2026-05-13T08:45:32Z
Seat,SE,CMS,Сальник распредвала,high,CROPPED-BRAKE-192X192,partsale.eu,https://partsale.eu/search?q=CMS%20vag,2026-05-13T08:45:32Z
Mitsubishi,MI,SBR,Втулка стабилизатора задняя,high,3DB52AB500A,mitsubishi-autoparts.com.ua:site_search,https://duckduckgo.com/html/?q=site%3Amitsubishi-autoparts.com.ua%20SBR%20%D0%92%D1%82%D1%83%D0%BB%D0%BA%D0%B0%20%D1%81%D1%82%D0%B0%D0%B1%D0%B8%D0%BB%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D0%B0%20%D0%B7%D0%B0%D0%B4%D0%BD%D1%8F%D1%8F,2026-05-13T08:46:12Z
