brand_prefix,part_code,oem_number,source_name,source_url,retrieved_at,brand,model,year_from,year_to,engine,restyle,vin_pattern
BU,MAF,12714453,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-sensor-asm-mass-airflow-12714453.html?utm_source=chatgpt.com,2026-05-14T20:12:03Z,Buick,Encore; Encore GX; Envista,2020,2025,"CX 4 DOOR SPORT UTILITY; 4 DOOR EXT, 4 DOOR EXT , 4DOOR EXT , GX LEVEL IV 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL II 4 DOOR MPV, LEVEL II 4 DOOR SUV, LEVEL III 4 DOOR EXTENDED, LEVEL III 4 DOOR MPV, LEVEL IV 4 DOOR EXTENDED, LEVEL IV 4 DOOR MPV; LEVEL 1 4 DOOR EXTENDED, LEVEL II 4 DOOR EXTENDED, LEVEL III 4 DOOR EXTENDED",,
CA,MAF,12714453,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-sensor-asm-mass-airflow-12714453.html?utm_source=chatgpt.com,2026-05-14T20:12:03Z,Cadillac,CT4; CT5; Escalade; XT4,2020,2024,"V-SERIES NOTCHBACK-BLACKWING; LUXURY SEDAN EXT, LUXURY SEDAN EXTENDED, SPORT SEDAN EXT, SPORT SEDAN EXTENDED, V-SERIES SPORT SEDAN EXT, V-SERIES SPORT SEDAN EXTENDED; 1/2 TON, YUKON XL/DENALI XL/ESCALADE ESV, YUKON/DENALI/ESCALADE; All Purpose 4 Door Base, ALL PURPOSE 4 DOOR BASE, All Purpose 4 Door Luxury, ALL PURPOSE 4 DOOR LUXURY, All Purpose 4 Door Sport, ALL PURPOSE 4 DOOR SPORT",,
CH,MAF,12714453,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-sensor-asm-mass-airflow-12714453.html?utm_source=chatgpt.com,2026-05-14T20:12:03Z,Chevrolet,Colorado; Corvette; Express,2020,2024,"CREW CAB - 5'2"" BOX, LS CREW CAB - 5'2"" BOX, LS CREW CAB-5'2"" BOX(I), LT CREW CAB - 5'2"" BOX, LT CREW CAB-5'2"" BOX(I), LTZ CREW CAB-5'2"" BOX, SPORT CREW-5'2"" BOX(NA); LT2 AWD CONVERTIBLE, LT2 AWD COUPE, Stingray Convertible, STINGRAY CONVERTIBLE, Stingray Coupe, STINGRAY COUPE; 1 TON CARGO EXPRESS, 1 TON COMMERCIAL/RV CUTAWAY, 1 TON PASSENGER, 3/4 TON CARGO EXPRESS, 3/4 TON PASSENGER EXPRESS, Van 3/4 Ton Cargo Express",,
GM,MAF,12714453,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-sensor-asm-mass-airflow-12714453.html?utm_source=chatgpt.com,2026-05-14T20:12:03Z,GMC,,,,,,
