brand,brand_prefix,part_code,oem_number,accepted,reason
Audi,AU,CKP,31JULI2025,0,invalid_oem_reuse
Audi,AU,CMP,31JULI2025,0,invalid_oem_reuse
Seat,SE,CKP,2025-08-08T09,1,added
Seat,SE,CMS,2025-08-08T09,0,invalid_oem_reuse
