brand,brand_prefix,part_code,oem_number,accepted,reason
Audi,AU,CMP,B66B812CE4,0,duplicate_oem_in_lookup
Audi,AU,CKP,B66B812CE4,0,duplicate_oem_in_lookup
Seat,SE,CKP,27KPPSEZRIAA-300X169,1,added
Seat,SE,CMP,27KPPSEZRIAA-300X169,1,added
