brand,brand_prefix,part_code,priority
Acura,AC,CSR,high
Acura,AC,IMG,high
Acura,AC,CMP,high
Acura,AC,EML,high
Acura,AC,HGG,high
Acura,AC,PCV,high
Acura,AC,THB,high
Acura,AC,MAP,high
Acura,AC,OPM,high
Acura,AC,CMS,high
Acura,AC,OPS,high
Acura,AC,CSF,high
Acura,AC,CKP,high
Acura,AC,EMR,high
Acura,AC,EMB,high
Acura,AC,EMG,high
Acura,AC,VCG,high
Acura,AC,SBR,high
Acura,AC,RAD,high
Acura,AC,TST,high
Acura,AC,FAN,high
Acura,AC,ABK,high
Acura,AC,CAB,high
Acura,AC,EXT,high
Acura,AC,SBF,high
Acura,AC,STM,high
Acura,AC,ABT,high
Acura,AC,ABR,high
Acura,AC,RAB,high
Acura,AC,ODP,high
Acura,AC,TSH,high
Acura,AC,FF,high
Audi,AU,CKP,high
Audi,AU,CMS,high
Audi,AU,EML,high
Audi,AU,EMB,high
Audi,AU,EMG,high
Audi,AU,CMP,high
Audi,AU,EMR,high
Audi,AU,MAF,high
Audi,AU,IMG,high
Audi,AU,OPS,high
Audi,AU,THB,high
Audi,AU,RHU,high
Audi,AU,TSH,high
Audi,AU,CAB,high
Audi,AU,RAB,high
Audi,AU,SBF,high
Audi,AU,SBR,high
Audi,AU,SR,high
Audi,AU,STM,high
Audi,AU,ODW,high
Audi,AU,ODP,high
Audi,AU,HUR,high
Audi,AU,CVB,high
BYD,BY,CSF,high
BYD,BY,CMS,high
BYD,BY,CMP,high
BYD,BY,CKP,high
BYD,BY,EMB,high
BYD,BY,CSR,high
BYD,BY,EMG,high
BYD,BY,EML,high
BYD,BY,EMR,high
BYD,BY,HGG,high
BYD,BY,MAF,high
BYD,BY,IMG,high
BYD,BY,OPS,high
BYD,BY,THB,high
BYD,BY,TK,high
BYD,BY,OPM,high
BYD,BY,MAP,high
BYD,BY,PCV,high
BYD,BY,EXC,high
BYD,BY,VCG,high
BYD,BY,TSH,high
BYD,BY,RAD,high
BYD,BY,EXT,high
BYD,BY,FAN,high
Acura,AC,ODW,high
BYD,BY,TST,high
BYD,BY,CAB,high
BYD,BY,SBF,high
BYD,BY,RAB,high
BYD,BY,SPR,high
BYD,BY,SBR,high
BYD,BY,STM,high
BYD,BY,ABT,high
BYD,BY,ODP,high
BYD,BY,ODW,high
BYD,BY,ABR,high
BYD,BY,FF,high
BYD,BY,ABK,high
Acura,AC,ATF,high
Acura,AC,CVB,high
Acura,AC,ATG,high
Acura,AC,CRB,high
Acura,AC,HUR,high
Acura,AC,CLK,high
BYD,BY,ATF,high
Acura,AC,ATP,high
Acura,AC,CVJ,high
Acura,AC,TMM,high
BYD,BY,ATP,high
BYD,BY,CVB,high
BYD,BY,CLK,high
BYD,BY,CVJ,high
BYD,BY,ATG,high
BYD,BY,HUR,high
BYD,BY,TFC,high
BYD,BY,CMC,high
BYD,BY,TMM,high
BYD,BY,CRB,high
Buick,BU,CMS,high
Buick,BU,CMP,high
Buick,BU,CSF,high
Buick,BU,CKP,high
Buick,BU,CSR,high
Buick,BU,EMB,high
Buick,BU,OPM,high
Buick,BU,FAN,high
Buick,BU,MAF,high
Buick,BU,MAP,high
Buick,BU,VCG,high
Buick,BU,HGG,high
Buick,BU,EXT,high
Buick,BU,EMG,high
Buick,BU,OPS,high
Buick,BU,IMG,high
Buick,BU,RAD,high
Buick,BU,THB,high
Buick,BU,EML,high
Buick,BU,TK,high
Buick,BU,PCV,high
Buick,BU,EMR,high
Buick,BU,TST,high
Buick,BU,CAB,high
Buick,BU,TSH,high
Buick,BU,SBF,high
Buick,BU,RAB,high
Buick,BU,SBR,high
Buick,BU,ABT,high
Buick,BU,ABR,high
Buick,BU,FF,high
Buick,BU,ABK,high
Buick,BU,STM,high
Buick,BU,ODP,high
Buick,BU,ODW,high
Buick,BU,SPR,high
Buick,BU,ATG,high
Buick,BU,ATF,high
Buick,BU,ATP,high
Buick,BU,CLK,high
Cadillac,CA,CMP,high
Buick,BU,TMM,high
Buick,BU,CVB,high
Buick,BU,CRB,high
