brand,brand_prefix,part_code,part_name,priority,oem_number,source_name,source_url,retrieved_at
Audi,AU,EMB,Опора двигателя задняя,high,31JULI2025,partsale.eu,https://partsale.eu/search?q=EMB%20vag,2026-05-13T19:43:05Z
Audi,AU,CMS,Сальник распредвала,high,31JULI2025,partsale.eu,https://partsale.eu/search?q=CMS%20vag,2026-05-13T19:43:05Z
Buick,BU,TSH,Корпус термостата,high,285-2548,baxterautoparts.com:site_search,https://duckduckgo.com/html/?q=site%3Abaxterautoparts.com%20TSH,2026-05-13T19:58:03Z
Buick,BU,FAN,Вентилятор радиатора,high,285-2548,baxterautoparts.com:site_search,https://duckduckgo.com/html/?q=site%3Abaxterautoparts.com%20FAN,2026-05-13T19:58:03Z
Seat,SE,CKP,Датчик положения коленвала,high,27KPPSEZRIAA-300X169,partsale.eu,https://partsale.eu/search?q=CKP%20vag,2026-05-13T21:04:05Z
Seat,SE,CMP,Датчик положения распредвала,high,27KPPSEZRIAA-300X169,partsale.eu,https://partsale.eu/search?q=CMP%20vag,2026-05-13T21:04:07Z
